0,63,64,40,81,49,69,18,74,59,88,105,41,39,47,91,45,63,87,1,78,53,58,13,82,68
63,0,3,23,41,36,91,45,48,36,31,70,43,34,61,31,30,23,28,64,33,17,25,60,19,22
64,3,0,25,38,34,90,46,45,34,28,67,42,36,60,29,29,26,29,65,30,15,28,61,18,19
40,23,25,0,56,35,84,22,56,41,53,85,37,13,54,54,27,24,46,41,49,22,21,41,42,37
81,41,38,56,0,33,73,70,15,23,24,28,42,70,51,33,36,65,60,82,9,34,66,72,44,20
49,36,34,35,33,0,55,40,25,10,45,56,10,47,25,52,8,54,64,49,31,19,53,39,51,25
69,91,90,84,73,55,0,76,57,58,95,77,48,93,30,103,61,107,119,69,77,74,105,56,106,77
18,45,46,22,70,40,76,0,65,49,72,96,36,21,49,75,33,44,68,19,64,38,39,23,64,53
74,48,45,56,15,25,57,65,0,16,38,31,32,70,37,47,31,71,71,74,21,35,71,63,55,26
59,36,34,41,23,10,58,49,16,0,38,46,19,54,31,45,15,57,62,60,22,21,57,49,48,19
88,31,28,53,24,45,95,72,38,38,0,47,55,65,69,8,45,52,39,89,17,34,55,82,23,21
105,70,67,85,28,56,77,96,31,46,47,0,63,98,65,54,62,94,86,106,37,62,95,94,70,49
41,43,42,37,42,10,48,36,32,19,55,63,0,48,18,62,13,59,72,42,41,27,57,30,60,34
39,34,36,13,70,47,93,21,70,54,65,98,48,0,64,65,39,24,51,40,62,35,19,44,50,50
47,61,60,54,51,25,30,49,37,31,69,65,18,64,0,76,31,77,89,48,52,44,75,34,77,49
91,31,29,54,33,52,103,75,47,45,8,54,62,65,76,0,50,49,32,92,26,39,53,87,18,27
45,30,29,27,36,8,61,33,31,15,45,62,13,39,31,50,0,47,58,46,32,13,45,37,47,24
63,23,26,24,65,54,107,44,71,57,52,94,59,24,77,49,47,0,27,64,56,36,5,66,31,45
87,28,29,46,60,64,119,68,71,62,39,86,72,51,89,32,58,27,0,88,51,45,32,87,16,44
1,64,65,41,82,49,69,19,74,60,89,106,42,40,48,92,46,64,88,0,78,54,59,13,83,68
78,33,30,49,9,31,77,64,21,22,17,37,41,62,52,26,32,56,51,78,0,27,58,70,35,12
53,17,15,22,34,19,74,38,35,21,34,62,27,35,44,39,13,36,45,54,27,0,36,48,33,15
58,25,28,21,66,53,105,39,71,57,55,95,57,19,75,53,45,5,32,59,58,36,0,62,35,46
13,60,61,41,72,39,56,23,63,49,82,94,30,44,34,87,37,66,87,13,70,48,62,0,79,61
82,19,18,42,44,51,106,64,55,48,23,70,60,50,77,18,47,31,16,83,35,33,35,79,0,29
68,22,19,37,20,25,77,53,26,19,21,49,34,50,49,27,24,45,44,68,12,15,46,61,29,0
