0,63,33,82,83,81,72,17,30,22,36,72,79,53,19,43,63,75,29,28,23,11,11,36,25,80
63,0,50,41,75,22,73,74,33,62,42,18,53,10,56,24,71,56,43,55,43,69,62,28,55,63
33,50,0,52,50,60,40,33,26,51,8,49,46,42,15,43,32,42,44,7,16,45,24,37,49,46
82,41,52,0,44,26,48,86,57,91,47,23,17,45,66,60,51,24,75,60,59,92,75,60,87,29
83,75,50,44,0,68,12,77,72,101,50,61,26,74,64,84,22,20,91,54,65,95,72,79,99,14
81,22,60,26,68,0,70,90,51,83,52,10,42,31,70,46,71,48,65,66,59,89,78,49,77,55
72,73,40,48,12,70,0,65,64,91,42,61,30,70,53,78,10,23,83,43,55,84,61,73,89,20
17,74,33,86,77,90,65,0,42,38,39,80,79,65,20,58,55,74,46,26,31,25,12,50,42,77
30,33,26,57,72,51,64,42,0,34,22,43,59,23,25,17,58,58,19,28,12,37,29,10,29,64
22,62,51,91,101,83,91,38,34,0,50,76,92,52,38,38,82,90,19,47,36,15,33,34,7,95
36,42,8,47,50,52,42,39,22,50,0,41,42,34,19,37,36,39,40,14,14,47,28,31,48,45
72,18,49,23,61,10,61,80,43,76,41,0,36,24,60,40,62,41,57,56,49,80,68,42,70,48
79,53,46,17,26,42,30,79,59,92,42,36,0,53,61,66,36,7,78,52,56,90,70,64,88,12
53,10,42,45,74,31,70,65,23,52,34,24,53,0,46,15,66,56,34,47,34,59,52,18,46,63
19,56,15,66,64,70,53,20,25,38,19,60,61,46,0,43,44,57,36,9,13,31,9,35,39,61
43,24,43,60,84,46,78,58,17,38,37,40,66,15,43,0,73,67,19,46,30,47,46,7,32,74
63,71,32,51,22,71,10,55,58,82,36,62,36,66,44,73,0,28,76,35,48,75,52,67,82,28
75,56,42,24,20,48,23,74,58,90,39,41,7,56,57,67,28,0,77,48,54,86,66,64,87,7
29,43,44,75,91,65,83,46,19,19,40,57,78,34,36,19,76,77,0,43,28,29,35,15,12,84
28,55,7,60,54,66,43,26,28,47,14,56,52,47,9,46,35,48,43,0,16,40,18,38,47,52
23,43,16,59,65,59,55,31,12,36,14,49,56,34,13,30,48,54,28,16,0,33,19,23,34,59
11,69,45,92,95,89,84,25,37,15,47,80,90,59,31,47,75,86,29,40,33,0,22,41,20,92
11,62,24,75,72,78,61,12,29,33,28,68,70,52,9,46,52,66,35,18,19,22,0,38,34,70
36,28,37,60,79,49,73,50,10,34,31,42,64,18,35,7,67,64,15,38,23,41,38,0,28,71
25,55,49,87,99,77,89,42,29,7,48,70,88,46,39,32,82,87,12,47,34,20,34,28,0,93
80,63,46,29,14,55,20,77,64,95,45,48,12,63,61,74,28,7,84,52,59,92,70,71,93,0
