0,53,31,44,65,34,81,77,34,22,53,48,22,25,74,70,85,48,28,72,45,34,57,61,72,31,46,52,89,39,52,64,56,53,20,66,66,87,17,5,86,17,66,18,41,46,18,31,75,25,32
53,0,47,26,71,24,34,29,80,67,48,37,52,46,20,28,47,12,30,21,11,66,13,51,23,27,48,11,38,37,2,77,13,0,53,43,38,39,51,49,43,67,34,35,49,8,49,52,53,75,65
31,47,0,54,89,43,81,59,37,27,22,21,49,6,65,50,91,36,19,69,45,64,57,31,70,21,15,40,85,13,48,91,42,47,12,39,76,86,44,26,89,48,42,26,10,39,44,5,46,36,62
44,26,54,0,45,11,39,55,77,64,64,53,32,49,42,54,41,32,35,34,15,44,19,69,32,34,61,34,49,49,23,51,38,26,53,66,23,45,33,41,42,51,58,30,60,25,31,58,76,69,43
65,71,89,45,0,52,70,100,98,87,105,96,43,83,84,99,58,77,73,72,60,36,61,112,69,74,101,79,81,89,68,9,83,71,83,110,41,73,48,66,65,59,104,62,98,70,47,92,120,88,37
34,24,43,11,52,0,47,53,67,53,54,44,28,38,44,49,51,26,24,39,13,42,23,60,38,23,51,29,55,39,22,56,33,24,42,58,34,52,27,31,51,44,52,19,49,20,25,47,68,59,41
81,34,81,39,70,47,0,45,112,99,81,70,72,79,25,51,19,45,63,13,37,82,24,82,10,60,82,43,11,71,33,78,43,34,85,73,28,5,73,78,11,91,62,65,83,42,71,86,81,106,82
77,29,59,55,100,53,45,0,96,85,47,40,80,61,20,9,64,29,49,34,41,95,39,44,38,46,51,25,42,46,32,106,21,29,69,32,63,48,78,72,57,93,21,60,55,33,76,64,37,93,94
34,80,37,77,98,67,112,96,0,13,56,58,55,35,100,87,118,71,50,101,75,63,87,64,102,53,49,75,118,50,80,96,78,80,28,74,100,118,50,35,118,40,80,48,43,72,52,33,80,10,62
22,67,27,64,87,53,99,85,13,0,48,48,44,24,87,76,105,59,37,88,61,53,74,56,89,40,41,63,105,39,67,85,66,67,15,66,87,104,39,22,105,31,69,34,35,59,40,24,72,9,52
53,48,22,64,105,54,81,47,56,48,0,11,68,28,59,37,95,36,31,68,51,84,61,8,70,31,7,37,82,15,50,108,37,48,34,18,84,86,64,48,91,70,27,44,13,42,63,24,24,57,82
48,37,21,53,96,44,70,40,58,48,11,0,61,25,49,30,84,25,23,57,40,77,50,16,59,22,12,26,72,9,39,99,27,37,33,18,73,75,57,43,80,65,21,36,15,31,56,25,27,57,75
22,52,49,32,43,28,72,80,55,44,68,61,0,43,72,75,71,51,37,65,41,16,50,76,64,39,63,55,81,53,50,42,59,52,41,78,50,77,5,24,73,20,75,24,58,46,5,51,88,46,14
